Clover ID,Name,Price,Price Type,Price Unit,Tax Rates,Cost,Product Code,SKU,Modifier Groups,Quantity,Labels,Hidden,Non-revenue item
AV6X2CTBB922T,Sour Soda Pop,1.99,Fixed,,DEFAULT,0,,6.86E+11,,19,,No,No
GRRW2DZ8JE6KJ,Roll Back Truck,1.59,Fixed,,DEFAULT,0,,6.86E+11,,24,,No,No
VN0X2QPHN6EZ2,Sour Blast Spray,1.99,Fixed,,DEFAULT,0,,6.86E+11,,2,,No,No
1QVGBV3HVWDGM,Cherry Yum Fun Dip,0.25,Fixed,,DEFAULT,0,,79200005795,,16,,No,No
C750Z8474N10J,Cherry Air Head,0.25,Fixed,,DEFAULT,0,,73390002015,,7,,No,No
8B5H416TCDV42,Strawberry Air Head,0.25,Fixed,,DEFAULT,0,,73390002053,,8,,No,No
9951YAK7P619M,Orange Air Head,0.25,Fixed,,DEFAULT,0,,73390002022,,14,,No,No
E4S04G9BFW4VE,Watermelon Air Head,0.25,Fixed,,DEFAULT,0,,73390002039,,12,,No,No
NE43TYHFDPXMT,Green Apple Air Head,0.25,Fixed,,DEFAULT,0,,73390002077,,13,,No,No
XK5XW1ARPMGR8,Blue Raspberry Air Head,0.25,Fixed,,DEFAULT,0,,73390002206,,3,,No,No
7BRD6X8QKS8DJ,Mystery Air Head,0.25,Fixed,,DEFAULT,0,,73390002213,,12,,No,No
EA46Z97YFEFER,Smarties Mega Lolly,0.59,Fixed,,DEFAULT,0,,,,26,,No,No
EBZ6FMT9YNX6M,Grapehead,0.39,Fixed,,DEFAULT,0,,41420078170,,12,,No,No
B5JRDBJB4PRKA,Chewy Lemon Head,0.39,Fixed,,DEFAULT,0,,41420063008,,11,,No,No
0W2425P94W9JJ,Jaw Buster,0.39,Fixed,,DEFAULT,0,,41420014000,,,,No,No
4BF0929FR0640,Apple Head,0.39,Fixed,,DEFAULT,0,,41420117831,,8,,No,No
73XTEZABX4ETR,Mr Stache,0.99,Fixed,,DEFAULT,0,,59642745244,,2,,No,No
NA6BMJ18S70D8,Fan Pop,1.99,Fixed,,DEFAULT,0,,6.86E+11,,12,,No,No
XJ7HWFHKW4VNJ,Pirate Flash Pop,1.25,Fixed,,DEFAULT,0,,6.86E+11,,23,,No,No
KNVRT3M0Z8Y3A,Wax Lips,0.99,Fixed,,DEFAULT,0,,59642742243,,9,,No,No
5A65FEXZNNV88,Matchems,1.99,Fixed,,DEFAULT,0,,41116301001,,20,,No,No
XP3ETN33Q285J,Candy NeckLace,0.99,Fixed,,DEFAULT,0,,11206007076,,50,,No,No
H00PMZWZ49AMY,Cella,19.95,Fixed,,DEFAULT,0,,11228372121,,,,No,No
D6CK22H039N1J,Cella Cherries,4.99,Fixed,,DEFAULT,0,,11228000161,,,,No,No
JZE40REPNE4GY,Lindt Lindor Milk Chocolate Truffles,24.95,Fixed,,DEFAULT,0,,37466020761,,6,,No,No
41AF5EG6BSAZE,Baci Perugina,12.95,Fixed,,DEFAULT,0,,20182008410,,9,,No,No
4RYDWBYN1X4PG,Lindt Lindor Caramel,24.95,Fixed,,DEFAULT,0,,9542005153,,7,,No,No
7JGRY5TTWBD82,Lindt Lindor Dark Chocolate Truffles,24.95,Fixed,,DEFAULT,0,,37466020778,,5,,No,No
RR8YKJS92APY4,Cella Dark Cherries,19.95,Fixed,,DEFAULT,0,,11228721202,,,,No,No
2SS4MCAHFE0PW,Asher Chocolate,8.95,Fixed,,DEFAULT,0,,89449342100,,11,,No,No
JF0CR1V4XJ5GW,Lindt Lindor White Chocolate Truffles,24.95,Fixed,,DEFAULT,0,,37466020785,,12,,No,No
Z4W8QG2H4CY4J,Dark Chocolate Cherries,4.99,Fixed,,DEFAULT,0,,11228001601,,,,No,No
TT5KSQR9334E0,Sugar Free Dark Chocolate Bar,2.49,Fixed,,DEFAULT,0,,89449199322,,13,,No,No
XDZW0R44WZ4G4,Sugar Free Bazooka Gum,3.95,Fixed,,DEFAULT,0,,41116011801,,14,,No,No
GB165VAQSDHFE,Sugar Free Dubble Bubble Gum,2.95,Fixed,,DEFAULT,0,,59642130835,,2,,No,No
MBBY11S6G6H5M,Sugar Free Jelly Belly Gummy Bears,2.95,Fixed,,DEFAULT,0,,71567996020,,,,No,No
4YHABZZWGKMMM,Sugar Free Twizzlers,3.49,Fixed,,DEFAULT,0,,34000540105,,13,,No,No
171EA6T3Z1V8P,Sugar Free Chocolate,5.95,Fixed,,DEFAULT,0,,4.75E+12,,,,No,No
KJX9WPPD7NEJR,Sugar Free Chocolate Bar,2.95,Fixed,,DEFAULT,0,,4.75E+12,,,,No,No
T65NAAVQJT36Y,Sugar Free Ashers Assortment,9.95,Fixed,,DEFAULT,0,,89449315401,,10,,No,No
JD4EFA60VZXAW,Sugar Free Milk chocolate Bar,2.95,Fixed,,DEFAULT,0,,4.75E+12,,,,No,No
YRG35JCZJNWVY,Milk Chocolate Ice Cubes,35.95,Fixed,,DEFAULT,0,,72084013542,,1,,No,No
SKGRVM6GWEN3Y,Perugina Bottle Assorted Chocolates,5.95,Fixed,,DEFAULT,0,,8.39E+11,,4,,No,No
9EMCF91VCR2RJ,Maple blend gift box 4oz,12.95,Fixed,,DEFAULT,0,,,,7,,No,No
R74E72BYF6Z4J,Sugar Free Milk Chocolate Red Bar,0.99,Fixed,,DEFAULT,0,,4.75E+12,,12,,No,No
YXMAS61C4CW7E,Sugar Free Dark Chocolate Red Bar,0.99,Fixed,,DEFAULT,0,,4.75E+12,,11,,No,No
6GMZQ7F4M0XVE,Kane Candy Dessert Cups,4.95,Fixed,,DEFAULT,0,,8.51E+11,,,,No,No
60GN1VMKWGX7M,Sugar Free Asher Chocolate  Co.,9.95,Fixed,,DEFAULT,0,,,,10,,No,No
F3R32B60MZPMC,Sugar Free Jelly Belly Gummy Bears (cloned),2.95,Fixed,,DEFAULT,0,,,,8,,No,No
CB4QN45CMQ82J,Gummi Pizza,15.95,Per unit,48,DEFAULT,0,,8.14E+11,,,,No,No
MV09HYYE8VCZ4,Gummi Hotdogs,12.95,Per unit,60,DEFAULT,0,,8.14E+11,,,,No,No
EC3S58SEENBFA,Gummi Mini Burgers,12.95,Per unit,60,DEFAULT,0,,8.14E+11,,,,No,No
WWBWM4YZFNE5C,Charleston Chew Chocolate/24ct,19.95,Fixed,,DEFAULT,0,,71720331101,,16,,No,No
5T8779TABR3HR,Charlestown Chew Strawberry/24ct,19.95,Fixed,,DEFAULT,0,,71720331200,,11,,No,No
W0TKGCWXZWYKE,Charleston Chew Vanilla/24ct,19.95,Fixed,,DEFAULT,0,,71720331309,,2,,No,No
W9VR2HYFEC8NT,Laffy Taffy Apple,12.95,Per unit,145,DEFAULT,0,,28000721213,,8,,No,No
F9F3Z4GF4RH86,Laffy Taffay Banana,12.95,Per unit,145,DEFAULT,0,,79200563127,,6,,No,No
RE5A0BRE4VMA0,Laffy Taffy Blue Raspberry,12.95,Fixed,,DEFAULT,0,,28000617950,,2,,No,No
Q864G0V42GE10,Laffy Taffy Strawberry,12.95,Per unit,145,DEFAULT,0,,79200924317,,7,,No,No
2TJ5YRNK9QYM6,Laffy Taffy Grape,12.95,Per unit,145,DEFAULT,0,,28000660659,,10,,No,No
T4P0QJE1VH0F6,Laffy Taffy Cherry,12.95,Per unit,145,DEFAULT,0,,28000479763,,4,,No,No
VQCX74GHPASWG,Cherry Head,5.95,Per unit,24,DEFAULT,0,,41420047183,,9,,No,No
0Y3QWSQBDTFNG,Grapehead,5.95,Per unit,24,DEFAULT,0,,41420088179,,8,,No,No
CNPE220Z075CA,Chewy Lemon Head,5.95,Per unit,24,DEFAULT,0,,41420163005,,9,,No,No
F0JHB9VHW81GA,Applehead,5.95,Per unit,24,DEFAULT,0,,41420127830,,9,,No,No
AMP1KMZSNYHSJ,Jaw Busters,5.95,Per unit,24,DEFAULT,0,,41420024009,,,,No,No
FJJEA9ZN5WD18,Mystery Airheads,6.99,Per unit,36,DEFAULT,0.36,,73390001124,,6,,No,No
RMNCT29ENZN4Y,Watermelon Airheads,6.99,Per unit,36,DEFAULT,0,,73390001179,,1,,No,No
PQZ7TVT87YX3J,Airheads Grape,6.99,Per unit,36,DEFAULT,0,,73390029951,,13,,No,No
P1FMJNKP9H4XM,Greenapple Airheads,6.99,Per unit,36,DEFAULT,0,,73390001216,,3,,No,No
2X2Y71862YP4C,Orange Airheads,6.99,Per unit,36,DEFAULT,0,,73390001162,,8,,No,No
MZF5G5V5PPEW6,Cherry Airheads,6.99,Per unit,36,DEFAULT,0,,73390001155,,2,,No,No
T5XR60JQ9C2TR,Blue Raspberry Airheads,6.99,Per unit,36,DEFAULT,0,,73390001131,,5,,No,No
GNA0BMSW4V0CY,Gobstoppers,24.95,Per unit,24,DEFAULT,0,,79200230418,,,,No,No
W92ME7EK8KGTP,Tootsies Frootsie Sour Cherries,8.95,Fixed,,DEFAULT,0,,71720078587,,,,No,No
HTY9GX0ZQR0Y4,Tootsies Frootsie Grape,8.95,Per unit,360,DEFAULT,0,,71720078013,,,,No,No
7HJZ5E80J4MC6,Tootsies Frootsie Strawberry,8.95,Per unit,360,DEFAULT,0,,71720078020,,,,No,No
20V0FS0PJRHB0,Tootsies Frootsie,8.95,Per unit,360,DEFAULT,0,,71720078525,,,,No,No
B7T5C2Y5S4MH6,Tootsies Frootsie Green Apple,8.95,Per unit,360,DEFAULT,0,,71720078426,,,,No,No
DGZ5C1N3T2F2P,Tootsies Frootsie Watermelon,8.95,Per unit,360,DEFAULT,0,,71720078488,,,,No,No
1D2B81WXM7AA6,Tootsies Midgees,8.95,Per unit,360,DEFAULT,0,,71720078068,,,,No,No
SAXR47C87WX66,Tootsies Frootsie Fruit Punch,8.95,Per unit,360,DEFAULT,0,,71720078006,,,,No,No
6G53JKY93FC7C,Tootsie Frootsie Lemon Lime,8.95,Per unit,360,DEFAULT,0,,71720078556,,,,No,No
DVE9781SX9GD2,Tootsie Frootsie Blue Raspberry,8.95,Per unit,360,DEFAULT,0,,71720078433,,,,No,No
HD29MW6HHRH30,Cow Tales Carmel/36ct,12.95,Per unit,36,DEFAULT,0,,70622801019,,3,,No,No
